a52dec 0.7.4-9
telepathy-kde-contact-list 17.12.0-1
telepathy-kde-contact-runner 17.12.0-1
telepathy-kde-desktop-applets 17.12.0-1
telepathy-kde-filetransfer-handler 17.12.0-1
telepathy-kde-integration-module 17.12.0-1
telepathy-kde-send-file 17.12.0-1
telepathy-kde-text-ui 17.12.0-1
telepathy-logger 0.8.2-2
telepathy-logger-qt 17.08.0-1
telepathy-mission-control 5.16.4-2
telepathy-qt 0.9.7-1
tevent 1:0.9.34-1
texinfo 6.5-1
thin-provisioning-tools 0.7.5-1
threadweaver 5.41.0-1
thunar 1.6.13-1
thunar-archive-plugin 0.3.1-7
thunar-media-tags-plugin 0.2.1-2
thunar-volman 0.8.1-2
thunderbird 52.5.2-1
tilda 1.3.3-4
tmux 2.6-1
tslib 1.14-1
ttf-dejavu 2.37-1
ttf-hack 3.000-1
tumbler 0.2.0-1
tzdata 2017c-1
udisks2 2.7.5-1
umbrello 17.12.0-1
unibilium 1.2.1-1
unzip 6.0-12
upower 0.99.7-1
usbmuxd 1.1.0+28+g46bdf3e-1
usbutils 009-1
user-manager 5.11.5-1
util-linux 2.31.1-1
v4l-utils 1.12.5-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vlc 2.2.8-1
volume_key 0.3.9-5
vte-common 0.50.2-1
vte3 0.50.2-1
vulkan-icd-loader 1.0.61.1-1
wavpack 5.1.0-1
wayland 1.14.0-1
wayland-protocols 1.12-1
webkit2gtk 2.18.4-1
webrtc-audio-processing 0.3-2
wget 1.19.2-1
which 2.21-2
wildmidi 0.4.2-1
windowmaker 0.95.8-2
wireless_tools 30.pre9-1
